,demand_electricity_kw,demand_heat_kw,solar_availability,electricity_price,grid_availability,grid_emission_factor,outdoor_temperature,feed_in_tariff,gas_price,hp_air_cop,hp_geo_cop,hp_air_max
2020-03-02 11:00:00,127.9187242491347,969.737642941907,0.4196184692599684,0.1275,0.99,0.181309881,3.8,0.06,0.06708389318207413,2.795815359477124,3.11098,0.9765169677235177
2020-03-02 12:00:00,117.3743081476731,888.618791176434,0.3417489766646948,0.1275,0.99,0.185497506,3.8,0.06,0.06708389318207413,2.795815359477124,3.11098,0.9765169677235177
2020-03-02 13:00:00,97.6407564838082,863.3518200894061,0.2787622062963165,0.1275,0.99,0.195451296,3.9,0.06,0.06695069671021388,2.800391162029459,3.11098,0.9784351544091452
2020-03-02 14:00:00,88.2911041626669,879.1586614925282,0.4797480038831806,0.1275,0.99,0.198020687,3.5,0.06,0.06748348259765485,2.782177235772358,3.11098,0.9708035628631626
2020-03-02 15:00:00,105.2301159336019,850.7506600929162,0.4683747316577433,0.15,0.99,0.204690145,2.9,0.06,0.06828266142881632,2.066472222222221,3.11098,0.6794305901659404
2020-03-02 16:00:00,116.612013766293,778.961127375768,0.16932534413611694,0.15,0.99,0.21845636,1.7,0.06,0.06899999999999999,2.027297393364929,3.11098,0.6640037995848247
2020-03-02 17:00:00,129.1995396572353,734.6668741668998,0.08035515119937418,0.22499999999999998,0.99,0.223505836,0.5,0.06,0.06899999999999999,1.98958023255814,3.11098,0.6492072467380509
2020-03-02 18:00:00,131.7635463290578,737.0621663029273,0.001627740191141559,0.22499999999999998,0.99,0.224792413,0.0,0.06,0.06899999999999999,1.974275769230769,3.11098,0.6432191837048494
2020-03-02 19:00:00,133.7215410366218,772.3748502098216,0.0,0.22499999999999998,0.99,0.216260485,-0.3,0.06,0.06899999999999999,1.965205589586523,3.11098,0.6396747366422587
2020-03-02 20:00:00,126.8372217250453,820.000975648509,0.0,0.22499999999999998,0.99,0.208200175,-0.6,0.06,0.06899999999999999,1.956218368902438,3.11098,0.6361659338344477
2020-03-02 21:00:00,125.6721245756025,893.7330021836985,0.0,0.15,0.99,0.204734205,-0.5,0.06,0.06899999999999999,1.959204961832061,3.11098,0.637331606540811
2020-03-02 22:00:00,108.6338682952087,992.1655693490914,0.0,0.15,0.99,0.204774985,-1.0,0.06,0.06899999999999999,1.9443625,3.11098,0.6315420810788229
2020-03-02 23:00:00,92.9461551280964,1067.70831420452,0.0,0.0975,0.99,0.202424689,-0.8,0.06,0.06899999999999999,1.950272416413373,3.11098,0.6338462776154118
2020-03-03 00:00:00,73.63666147269929,1110.525215281307,0.0,0.0975,0.99,0.20500686,-0.7,0.06,0.06899999999999999,1.953240867579909,3.11098,0.635004163851623
2020-03-03 01:00:00,63.16980471141876,1130.111440022773,0.0,0.0975,0.99,0.20122986,-0.6,0.06,0.06899999999999999,1.956218368902438,3.11098,0.6361659338344477
2020-03-03 02:00:00,56.91830096221698,1146.765467074436,0.0,0.0975,0.99,0.200506355,-0.9,0.06,0.06899999999999999,1.947312974203339,3.11098,0.6326922562698196
2020-03-03 03:00:00,54.46576671193753,1168.313872540479,0.0,0.0975,0.99,0.203545608,-0.7,0.06,0.06899999999999999,1.953240867579909,3.11098,0.635004163851623
2020-03-03 04:00:00,54.96542648011545,1166.718649409824,0.0,0.0975,0.99,0.206913429,-0.1,0.06,0.06899999999999999,1.971243087557603,3.11098,0.6420337084266673
2020-03-03 05:00:00,56.77853811412037,1143.945099865521,0.0,0.0975,0.99,0.210887981,-0.4,0.06,0.06899999999999999,1.962200688073395,3.11098,0.6385012010695245
2020-03-03 06:00:00,61.22607098816547,1118.295922869639,0.0,0.0975,0.99,0.214000522,-0.5,0.06,0.06899999999999999,1.959204961832061,3.11098,0.637331606540811
2020-03-03 07:00:00,65.85746252372034,1129.087489585859,0.020187747445847223,0.15,0.99,0.213940601,0.7,0.06,0.06899999999999999,1.99576866251944,3.11098,0.6516311683935255
2020-03-03 08:00:00,76.55152034832722,1203.722999862905,0.17117542644558062,0.15,0.99,0.203044755,0.8,0.06,0.06899999999999999,1.998877336448598,3.11098,0.6528493602186567
2020-03-03 09:00:00,97.61280172018945,1340.047780895752,0.25255716131119693,0.15,0.99,0.189943038,0.2,0.06,0.06899999999999999,1.980369212962962,3.11098,0.6456022116492056
2020-03-03 10:00:00,124.2309914839905,1340.147967575657,0.25487426767289584,0.15,0.99,0.18393034,1.1,0.06,0.06899999999999999,2.008261737089203,3.11098,0.6565291093980774
2020-03-03 11:00:00,138.705054743682,1205.831548621289,0.5204426745966498,0.1275,0.99,0.182259378,2.2,0.06,0.06899999999999999,2.043438296178343,3.11098,0.6703528251893025
2020-03-03 12:00:00,123.6317635641279,1034.945181780138,0.7304185374094385,0.1275,0.99,0.18862583,2.4,0.06,0.06894864378811753,2.049966853035143,3.11098,0.6729236883709621
